No.;Time;Source;Destination;Protocol;Length;Info;;TIME 1;TIME 2;DELAY ;;DELAY 1;DELAY 2;JITTER
126;0,561113;192.168.27.81;202.67.42.206;UDP;77;63764  >  443 Len=35;;0,561113;0,562086;0,000973;;-0,001309;0,002282;0,003591
127;0,562086;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,562086;0,564368;0,002282;;-7,3E-05;0,002355;0,002428
128;0,564368;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,564368;0,566723;0,002355;;0,000229;0,002126;0,001897
129;0,566723;192.168.27.81;202.67.42.206;UDP;77;63764  >  443 Len=35;;0,566723;0,568849;0,002126;;-0,000942;0,003068;0,00401
130;0,568849;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,568849;0,571917;0,003068;;0,003068;0;-0,003068
131;0,571917;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,571917;0,571917;0;;-0,000325;0,000325;0,00065
132;0,571917;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,571917;0,572242;0,000325;;0,000164;0,000161;-3E-06
133;0,572242;192.168.27.81;202.67.42.206;UDP;78;63764  >  443 Len=36;;0,572242;0,572403;0,000161;;-0,011548;0,011709;0,023257
134;0,572403;192.168.27.81;202.67.42.206;UDP;76;63764  >  443 Len=34;;0,572403;0,584112;0,011709;;0,011329;0,00038;-0,010949
135;0,584112;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,584112;0,584492;0,00038;;-0,002161;0,002541;0,004702
136;0,584492;192.168.27.81;202.67.42.206;UDP;78;63764  >  443 Len=36;;0,584492;0,587033;0,002541;;0,002541;0;-0,002541
137;0,587033;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,587033;0,587033;0;;-0,000324;0,000324;0,000648
138;0,587033;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,587033;0,587357;0,000324;;0,000186;0,000138;-4,8E-05
139;0,587357;192.168.27.81;202.67.42.206;UDP;79;63764  >  443 Len=37;;0,587357;0,587495;0,000138;;-0,007246;0,007384;0,01463
140;0,587495;192.168.27.81;202.67.42.206;UDP;77;63764  >  443 Len=35;;0,587495;0,594879;0,007384;;0,004134;0,00325;-0,000884
141;0,594879;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,594879;0,598129;0,00325;;-0,004599;0,007849;0,012448
142;0,598129;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,598129;0,605978;0,007849;;0,007849;0;-0,007849
143;0,605978;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,605978;0,605978;0;;-0,000355;0,000355;0,00071
144;0,605978;202.67.42.206;192.168.27.81;UDP;67;443  >  63764 Len=25;;0,605978;0,606333;0,000355;;-0,009371;0,009726;0,019097
145;0,606333;192.168.27.81;202.67.42.206;UDP;76;63764  >  443 Len=34;;0,606333;0,616059;0,009726;;0,009726;0;-0,009726
146;0,616059;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,616059;0,616059;0;;-0,000366;0,000366;0,000732
147;0,616059;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,616059;0,616425;0,000366;;0,000183;0,000183;1,11022E-16
148;0,616425;192.168.27.81;202.67.42.206;UDP;76;63764  >  443 Len=34;;0,616425;0,616608;0,000183;;-0,002331;0,002514;0,004845
149;0,616608;192.168.27.81;202.67.42.206;UDP;75;63764  >  443 Len=33;;0,616608;0,619122;0,002514;;0,002057;0,000457;-0,0016
150;0,619122;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,619122;0,619579;0,000457;;-0,002275;0,002732;0,005007
151;0,619579;192.168.27.81;202.67.42.206;UDP;76;63764  >  443 Len=34;;0,619579;0,622311;0,002732;;0,002414;0,000318;-0,002096
152;0,622311;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,622311;0,622629;0,000318;;-0,017156;0,017474;0,03463
153;0,622629;192.168.27.81;202.67.42.206;UDP;78;63764  >  443 Len=36;;0,622629;0,640103;0,017474;;0,017474;0;-0,017474
154;0,640103;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,640103;0,640103;0;;-0,000385;0,000385;0,00077
155;0,640103;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,640103;0,640488;0,000385;;0,00022;0,000165;-5,5E-05
156;0,640488;192.168.27.81;202.67.42.206;UDP;78;63764  >  443 Len=36;;0,640488;0,640653;0,000165;;-0,003474;0,003639;0,007113
157;0,640653;192.168.27.81;202.67.42.206;UDP;76;63764  >  443 Len=34;;0,640653;0,644292;0,003639;;0,003639;0;-0,003639
158;0,644292;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,644292;0,644292;0;;-0,000158;0,000158;0,000316
159;0,644292;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,644292;0,64445;0,000158;;-4,9E-05;0,000207;0,000256
160;0,64445;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,64445;0,644657;0,000207;;4,9E-05;0,000158;0,000109
161;0,644657;192.168.27.81;202.67.42.206;UDP;78;63764  >  443 Len=36;;0,644657;0,644815;0,000158;;4,4E-05;0,000114;7E-05
162;0,644815;192.168.27.81;202.67.42.206;UDP;78;63764  >  443 Len=36;;0,644815;0,644929;0,000114;;-0,001939;0,002053;0,003992
163;0,644929;192.168.27.81;202.67.42.206;UDP;78;63764  >  443 Len=36;;0,644929;0,646982;0,002053;;0,001739;0,000314;-0,001425
164;0,646982;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,646982;0,647296;0,000314;;-0,006209;0,006523;0,012732
165;0,647296;192.168.27.81;202.67.42.206;UDP;80;63764  >  443 Len=38;;0,647296;0,653819;0,006523;;0,006154;0,000369;-0,005785
166;0,653819;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,653819;0,654188;0,000369;;-0,002838;0,003207;0,006045
167;0,654188;192.168.27.81;202.67.42.206;UDP;85;63764  >  443 Len=43;;0,654188;0,657395;0,003207;;0,002402;0,000805;-0,001597
168;0,657395;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,657395;0,6582;0,000805;;-0,015148;0,015953;0,031101
169;0,6582;192.168.27.81;202.67.42.206;UDP;82;63764  >  443 Len=40;;0,6582;0,674153;0,015953;;0,015634;0,000319;-0,015315
170;0,674153;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,674153;0,674472;0,000319;;-0,002231;0,00255;0,004781
171;0,674472;192.168.27.81;202.67.42.206;UDP;82;63764  >  443 Len=40;;0,674472;0,677022;0,00255;;0,002211;0,000339;-0,001872
172;0,677022;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,677022;0,677361;0,000339;;-0,002453;0,002792;0,005245
173;0,677361;192.168.27.81;202.67.42.206;UDP;84;63764  >  443 Len=42;;0,677361;0,680153;0,002792;;0,002419;0,000373;-0,002046
174;0,680153;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,680153;0,680526;0,000373;;-0,006936;0,007309;0,014245
175;0,680526;192.168.27.81;202.67.42.206;UDP;83;63764  >  443 Len=41;;0,680526;0,687835;0,007309;;0,00696;0,000349;-0,006611
176;0,687835;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,687835;0,688184;0,000349;;-0,008315;0,008664;0,016979
177;0,688184;192.168.27.81;202.67.42.206;UDP;84;63764  >  443 Len=42;;0,688184;0,696848;0,008664;;0,008278;0,000386;-0,007892
178;0,696848;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,696848;0,697234;0,000386;;-0,002113;0,002499;0,004612
179;0,697234;192.168.27.81;202.67.42.206;UDP;85;63764  >  443 Len=43;;0,697234;0,699733;0,002499;;-0,000918;0,003417;0,004335
180;0,699733;202.67.42.206;192.168.27.81;UDP;67;443  >  63764 Len=25;;0,699733;0,70315;0,003417;;0,003064;0,000353;-0,002711
181;0,70315;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,70315;0,703503;0,000353;;-0,014187;0,01454;0,028727
182;0,703503;192.168.27.81;202.67.42.206;UDP;76;63764  >  443 Len=34;;0,703503;0,718043;0,01454;;0,01454;0;-0,01454
183;0,718043;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,718043;0,718043;0;;-0,000387;0,000387;0,000774
184;0,718043;202.67.42.206;192.168.27.81;UDP;1292;443  >  63764 Len=1250;;0,718043;0,71843;0,000387;;-0,009365;0,009752;0,019117
